순,이름,팀,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
1,두산,17,34.75,1825,5833,5102,849,1499,270,20,178,2343,812,69,33,541,95,19,960,120,48,47,0.294,0.369,0.459,0.828,0.364,116.5,34.75,17.72
2,KIA,17,31.23,1933,5841,5142,906,1554,292,29,170,2414,868,76,34,499,89,19,891,118,55,56,0.302,0.37,0.469,0.84,0.367,113.1,31.23,20.61
3,NC,17,26.42,1987,5790,5079,786,1489,277,19,149,2251,739,93,32,471,130,19,979,119,62,48,0.293,0.365,0.443,0.808,0.356,106.6,26.42,12.44
4,넥센,17,23.49,1813,5712,5098,789,1479,267,30,141,2229,748,70,34,468,83,15,1066,129,21,42,0.29,0.357,0.437,0.794,0.353,103,23.49,10.04
5,SK,17,20.13,1772,5564,4925,761,1337,222,15,234,2291,733,53,42,427,113,20,1100,97,57,41,0.271,0.341,0.465,0.806,0.349,99.3,20.13,12.43
6,롯데,17,19.89,1844,5671,4994,743,1425,250,17,151,2162,697,92,44,457,112,33,1018,146,76,32,0.285,0.356,0.433,0.789,0.347,98.1,19.89,12.54
7,한화,17,17.46,1787,5665,5030,737,1445,261,16,150,2188,684,64,44,416,94,15,974,112,85,38,0.287,0.351,0.435,0.786,0.344,96.8,17.46,8.18
8,삼성,17,16.82,1786,5707,5095,757,1419,255,36,145,2181,703,98,37,429,70,17,983,97,58,55,0.279,0.34,0.428,0.768,0.337,92.7,16.82,5.87
9,LG,17,15.86,1896,5614,4944,699,1390,216,20,110,1976,664,77,56,438,101,17,1021,123,76,55,0.281,0.348,0.4,0.748,0.333,93,15.86,3.6
10,kt,17,9.68,1864,5484,4936,655,1360,274,17,119,2025,625,86,51,374,66,11,1017,118,62,45,0.276,0.332,0.41,0.742,0.328,84.3,9.68,-2.29
