순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
1,SK,19,30.04,628,0,0,144,88,55,51,92,1292.1,546,503,5463,1240,176,14,99,436,12,50,1092,4,50,3.5,3.81,1.3,121.1,112.2,30.04,16.03
2,두산,19,23.46,621,3,0,144,88,55,44,69,1283.2,550,501,5434,1259,231,22,78,380,22,70,860,5,49,3.51,3.85,1.28,116.4,105.9,23.46,10.43
3,키움,19,22.07,611,2,2,144,86,57,39,90,1279,572,512,5427,1293,244,24,61,371,3,58,984,6,45,3.6,3.48,1.3,114.6,118.6,22.07,5.42
4,NC,19,17.86,645,5,2,144,73,69,32,68,1284.1,631,573,5578,1285,199,19,103,483,10,92,991,2,68,4.02,4.22,1.38,105.5,100.2,17.86,3.13
5,LG,19,14.92,600,1,0,144,79,64,43,62,1283.1,633,554,5555,1257,223,23,89,499,15,91,953,1,64,3.89,4.16,1.37,105.2,97.8,14.92,5.62
6,KIA,19,14.47,603,3,2,144,62,79,30,64,1264,723,655,5614,1362,257,24,101,504,17,76,976,2,51,4.66,4.23,1.48,90.5,99.2,14.47,-5.39
7,KT,19,13.38,568,2,1,144,71,71,37,59,1277,661,611,5533,1303,225,25,118,481,17,61,848,6,50,4.31,4.51,1.4,96.8,91.6,13.38,-1.4
8,롯데,19,11.97,664,1,1,144,48,93,16,47,1270.1,764,688,5726,1405,241,20,120,546,33,71,1032,4,103,4.87,4.39,1.54,86.1,95.4,11.97,-12.89
9,한화,19,11.39,649,2,0,144,58,86,28,43,1268.2,737,679,5655,1407,238,19,120,526,9,72,934,4,66,4.82,4.55,1.52,86,91.6,11.39,-6.91
10,삼성,19,11.35,627,4,4,144,60,83,29,60,1275.1,731,658,5638,1332,254,36,125,523,9,70,924,5,49,4.64,4.6,1.46,93.2,92.8,11.35,-6.64
