0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
1,데스파이네,20K,0,35,0,0,34,15,8,0,0,207.2,105,100,906,233,36,1,18,68,1,8,152,0,18,4.33,4.3,1.45,110.9,110.7,0,0.38
2,알칸타라,20두,0,31,1,0,31,20,2,0,0,198.2,58,56,795,174,38,3,12,30,0,9,182,1,3,2.54,3.1,1.03,182.6,149.7,0,4.35
3,스트레일리,20롯,0,31,0,0,31,15,4,0,0,194.2,61,54,777,148,27,2,10,51,0,7,205,0,4,2.5,3.01,1.02,195.1,159,0,3.84
4,루친스키,20N,0,30,0,0,30,19,5,0,0,183,67,62,770,173,12,3,14,57,0,11,167,0,11,3.05,3.84,1.26,160.2,125.8,0,3.04
5,뷰캐넌,20삼,0,27,1,0,27,15,7,0,0,174.2,71,67,728,172,19,2,16,50,0,7,121,0,2,3.45,4.34,1.27,142.1,112.2,0,1.62
6,켈리,20L,0,28,1,1,28,15,7,0,0,173.1,67,64,705,160,29,1,16,40,0,11,134,0,4,3.32,4.09,1.15,139.3,112.7,0,1.64
7,양현종,20K,0,31,0,0,31,11,10,0,0,172.1,99,90,746,180,40,4,13,64,0,5,149,0,7,4.7,4.01,1.42,102.1,120.1,0,-0.98
8,서폴드,20한,0,28,1,1,28,10,13,0,0,165,107,90,734,203,30,3,19,42,0,13,97,0,10,4.91,4.88,1.49,96.3,98.2,0,-1.5
9,핀토,20S,0,30,0,0,30,6,15,0,0,162,121,111,766,198,35,1,19,90,3,11,112,2,11,6.17,5.51,1.78,78.2,88.3,0,-2.27
10,요키시,20키,0,27,0,0,27,12,7,0,0,159.2,53,38,640,144,26,3,6,25,0,6,115,1,3,2.14,3.19,1.06,220.3,147.3,0,3.2
11,가뇽,20K,0,28,0,0,28,11,8,0,0,159.2,86,77,702,162,33,8,7,64,0,9,141,0,13,4.34,3.73,1.42,110.6,129.2,0,-0.55
12,쿠에바스,20K,0,27,0,0,27,10,8,0,0,158,80,72,668,152,26,1,16,46,0,9,110,0,4,4.1,4.52,1.25,117.1,105.1,0,-0.29
13,라이트,20N,0,29,0,0,29,11,9,0,0,157.2,87,82,696,164,27,2,12,63,0,10,125,2,5,4.68,4.35,1.44,104.4,111,0,-1.57
14,박종훈,20S,0,29,0,0,28,13,11,0,0,157.1,90,84,691,146,21,3,14,78,1,22,134,0,5,4.81,4.9,1.42,100.4,99.5,0,-1.54
15,브룩스,20K,0,23,1,1,23,11,4,0,0,151.1,43,42,586,131,18,0,4,24,0,3,130,1,3,2.5,2.72,1.02,192.2,177.8,0,3.39
16,임찬규,20L,0,27,0,0,26,10,9,0,0,147.2,76,67,641,143,29,2,14,65,0,5,138,0,4,4.08,4.34,1.41,113.3,106.3,0,-0.22
17,박세웅,20롯,0,28,0,0,28,8,10,0,0,147.1,85,77,658,177,27,2,20,47,0,8,108,0,13,4.7,4.97,1.52,103.6,96.5,0,-1.77
18,최채흥,20삼,0,26,1,1,26,11,6,0,0,146,67,58,617,131,27,1,12,51,0,7,123,3,3,3.58,4.13,1.25,137.2,117.7,0,1.32
19,문승원,20S,0,25,1,0,25,6,8,0,0,145.2,64,59,610,136,29,0,13,45,0,6,117,0,2,3.65,4.16,1.24,132.3,117.1,0,0.65
20,윌슨,20L,0,25,0,0,25,10,8,0,0,144.2,81,71,628,161,23,2,13,39,0,8,109,1,3,4.42,4.19,1.38,104.8,110.2,0,-0.67
21,배제성,20K,0,26,0,0,26,10,7,0,0,141.1,67,62,619,130,30,1,12,76,0,4,83,1,11,3.95,5.18,1.46,121.7,91.8,0,1.09
22,원태인,20삼,0,27,0,0,26,6,10,0,0,140,84,76,626,162,32,1,19,56,2,5,78,0,6,4.89,5.47,1.56,100.4,89.4,0,-1.23
23,유희관,20두,0,27,0,0,27,10,11,0,0,136.1,91,76,622,190,37,5,14,39,4,3,56,0,1,5.02,4.91,1.68,92.3,94.3,0,-2.34
24,한현희,20키,0,25,0,0,25,7,9,0,0,135.2,77,75,587,141,20,1,10,37,2,14,109,2,3,4.98,3.99,1.31,94.8,116.8,0,0.38
25,소형준,20K,0,26,0,0,24,13,6,0,0,133,63,57,572,141,23,0,6,45,0,6,92,0,2,3.86,3.91,1.4,124.6,122,0,0.3
26,노경은,20롯,0,25,1,0,24,5,10,0,0,133,76,72,574,139,31,1,19,40,2,3,77,0,3,4.87,5.18,1.35,100,92.7,0,-0.54
27,장시환,20한,0,26,0,0,26,4,14,0,0,132.2,81,74,603,139,27,1,15,74,0,8,115,0,10,5.02,5.15,1.61,94.2,93.1,0,-1.62
28,김민우,20한,0,26,0,0,25,5,10,0,0,132.2,72,64,593,121,16,1,15,72,3,7,124,2,10,4.34,4.88,1.46,108.9,98.2,0,-0.68
29,이영하,20두,0,42,0,0,19,5,11,6,0,132,78,68,605,148,26,1,9,66,3,5,85,1,4,4.64,4.7,1.62,99.9,99.1,0,-1.97
30,샘슨,20롯,0,25,0,0,25,9,12,0,0,130,87,78,590,167,25,1,14,36,0,6,87,2,8,5.4,4.59,1.56,90.2,104.6,0,-1.07
31,임기영,20K,0,25,0,0,25,9,10,0,0,127.2,80,73,559,152,26,3,12,33,0,9,106,1,3,5.15,4.1,1.45,93.3,117.1,0,-1.25
32,최원준,20두,0,42,0,0,18,10,2,0,0,123,52,52,532,134,23,3,15,35,0,7,94,1,2,3.8,4.64,1.37,121.8,99,0,0.8
